user;markers;distance;points
desktopUser1;15;1043;16403
desktopUser2;17;1084;18084
desktopUser3;13;1049;14049
desktopUser4;13;1055;14055
desktopUser5;14;820;14820
mobileUser1;19;1590;34900
mobileUser2;18;2005;38050
mobileUser3;5;648;11480
mobileUser4;19;1404;33040
mobileUser5;21;1289;33890
